,Cover_Type
117643,2
569324,3
496448,1
302856,1
64184,2
469009,7
185762,1
562691,1
2344,6
319686,7
83801,2
184598,2
544120,1
26332,2
325995,2
350641,6
74102,2
447210,1
267545,5
449352,2
333005,2
60002,2
462472,1
268187,4
7443,5
52866,2
210399,1
246953,2
445191,2
434272,2
457534,1
298513,6
450996,2
211064,2
163912,2
350052,1
399249,2
580385,3
501545,1
55692,2
298122,3
39221,2
427545,1
199151,2
79115,2
431840,1
383767,3
210196,2
227439,2
534515,1
309537,2
67362,2
361463,1
408128,1
307416,2
72341,2
215268,7
450154,1
100242,2
287993,2
269437,2
300718,2
405855,1
403488,5
561581,2
406711,2
183961,1
246370,2
124847,1
237547,2
396399,7
339596,7
12022,5
35172,1
397749,1
503051,1
1743,5
537968,2
225707,6
136773,2
33288,2
181176,5
347710,1
159503,1
443442,1
464656,1
198826,2
495210,2
534275,1
14291,2
74287,2
190269,1
144071,2
199834,1
146925,2
500941,2
436423,2
340106,2
372786,6
2121,6
104558,2
235280,2
93975,2
383530,2
378827,7
5490,4
337803,1
303918,1
494101,1
27839,2
75801,2
108699,2
324257,1
565118,6
468941,1
250070,3
137879,1
469462,7
19227,2
549000,1
328252,3
187655,1
159315,1
299957,2
134621,2
284463,2
135750,1
464860,1
294259,2
137356,2
161707,2
18857,2
154379,2
561487,1
232766,2
278045,1
387614,2
30913,1
573886,3
152190,2
177290,1
500198,7
95315,2
22904,1
517072,2
554864,5
60492,1
556878,1
103888,2
224928,1
78830,2
53556,2
369112,1
217253,1
160463,2
552491,2
518998,1
419719,1
271868,1
306860,1
309079,1
474977,2
92827,2
60553,2
283807,1
483449,1
106045,2
168206,2
320127,1
268842,1
137678,1
556483,1
254117,2
115877,2
344245,2
464912,2
474204,2
179426,1
139347,2
526808,2
285571,2
9035,2
339802,2
6359,6
25803,2
534493,2
334717,1
177055,1
71497,2
277841,3
218340,1
547260,2
65915,2
62815,2
171447,2
318813,1
506130,1
221389,3
71805,2
251564,2
474921,1
318124,1
214251,1
109869,2
366443,7
262723,3
377646,2
61810,2
233947,2
321853,2
167757,1
558520,1
75020,2
303587,2
479826,7
195823,1
60407,2
144584,2
360997,3
60787,1
488169,2
379306,1
157228,1
413562,1
77858,2
547582,1
393211,1
178867,2
394150,1
525173,1
163295,2
172933,2
97931,2
213529,1
400486,1
123455,2
50549,2
265092,6
435597,1
212513,1
417062,1
119710,2
507495,1
32063,2
40750,2
291814,1
20752,2
342054,2
91513,2
82537,2
289536,1
267068,2
529686,2
374588,2
388407,1
243271,1
10813,2
441426,1
147087,1
128174,2
277270,3
201656,2
243753,2
302925,1
318117,1
301793,6
40928,2
348686,2
149589,2
445697,2
197351,2
186286,2
57715,2
243656,5
39487,2
165161,2
258894,1
343473,7
189275,2
399522,3
99822,1
365044,6
209036,5
285384,6
317126,1
80770,2
488894,1
161255,1
155726,1
469422,1
81994,2
141478,2
561214,1
398248,1
73892,5
110972,1
22597,2
502133,1
313719,1
386672,1
487384,1
86229,2
560059,1
570145,2
242832,2
193819,1
229643,3
168830,2
430041,1
532255,1
309144,6
274173,1
483933,1
233705,2
527849,1
27542,2
343008,2
348665,1
527975,1
560332,2
478514,2
36791,2
485826,2
533749,2
17706,2
455702,1
171739,2
106803,2
497751,2
296336,3
183633,2
327477,2
181203,1
91505,2
196291,1
570053,2
349145,1
398381,1
176292,2
328865,2
559008,2
439616,1
134280,2
127002,2
314269,3
530113,2
383783,1
1805,7
38212,1
308808,1
306766,1
111041,2
235478,6
394953,1
100138,2
142609,2
204995,2
64008,2
17360,2
423317,1
421352,2
522994,1
536128,1
379461,7
506280,2
490288,2
183497,1
88725,2
476583,2
251092,2
442277,1
43108,2
81226,2
297392,3
131322,2
169984,1
222339,2
188056,1
553144,2
267013,2
268804,1
109585,1
235119,2
377675,2
300784,2
17813,2
472148,1
339462,3
64976,2
7503,7
118838,1
248534,2
578005,3
305626,2
467439,1
237033,5
480100,7
54062,2
69182,2
255903,2
498940,2
16193,2
483849,2
133627,1
549831,1
419663,6
238089,2
558368,2
204436,2
181558,1
338153,3
572007,3
441894,1
331732,3
174517,1
247815,2
513678,1
164416,2
42840,1
383527,2
172824,1
46699,1
175641,1
78262,2
63766,1
338852,2
469604,1
492181,1
67060,1
12760,3
391528,6
548331,2
75919,2
65314,2
476168,1
539931,1
386478,2
376461,2
296583,1
488119,1
301486,2
546648,2
510134,7
54880,2
579565,6
139467,1
418521,1
158517,1
79313,2
452995,1
264088,3
157289,1
60299,2
331155,1
278895,3
12152,5
557840,2
374647,2
252249,2
264620,3
60179,1
482875,2
241092,3
343857,2
105418,2
294997,3
3164,4
13732,3
452846,1
508520,1
362516,2
78556,2
177743,2
563570,2
487924,1
418864,2
201243,1
332956,1
143633,2
455350,2
218095,1
94859,2
128857,2
218532,2
440243,1
478161,2
149755,1
363954,1
359641,2
205748,2
569782,2
246371,2
20538,1
572194,2
388760,1
65913,2
352372,3
224514,1
465233,1
544985,2
267403,2
213257,1
274784,2
112757,1
512736,2
358473,2
195833,1
442867,2
87719,2
246008,2
225317,3
410323,2
202924,1
534696,2
56631,2
554035,2
452544,1
323059,7
356074,3
224641,2
293303,1
438134,1
169084,2
241911,2
381058,2
425690,2
178912,1
479244,2
312090,2
477244,1
330696,2
25778,2
147362,1
341035,1
33881,1
240428,1
153003,1
226304,1
490622,2
526160,1
517861,1
495119,1
449258,2
563204,1
234434,2
309807,1
417555,1
524025,2
197497,1
148571,1
432150,1
575334,3
349311,2
413771,2
342505,2
23065,2
442622,1
411710,2
503090,1
563891,1
233078,7
103852,2
427687,2
78619,2
505691,1
344314,1
313519,2
336115,1
115170,2
175560,2
508374,2
187855,1
279353,1
432913,1
403712,1
506857,1
113527,2
285734,2
94259,2
372582,2
341496,2
140269,2
89741,1
291700,6
358801,2
296988,1
425625,2
221426,1
308905,1
351942,1
98497,2
508773,1
82294,2
53250,1
354948,1
318037,3
184467,1
419359,1
481853,2
439258,2
158627,2
339401,2
498972,1
325153,1
508942,2
454756,1
178055,2
298770,2
501154,1
321008,7
507793,1
148929,1
9418,2
154032,1
219405,2
354676,2
572900,3
34309,2
313916,2
481960,2
426060,1
361148,2
182528,1
118031,2
104270,2
439228,1
393885,1
448192,1
92908,1
65731,2
346721,1
455925,1
116071,1
389513,2
142499,2
265794,2
233794,2
102296,1
258457,3
191586,2
160276,1
62197,2
302882,1
214988,2
29392,2
233357,2
163328,1
92501,2
532211,2
327390,2
274296,3
268275,3
341092,2
14467,2
312440,2
577772,3
198366,1
299353,6
256798,3
527200,1
376453,2
462071,7
495544,1
416339,2
360853,2
308852,1
46799,2
77355,2
49796,1
181541,1
88117,2
476267,1
359991,2
567831,6
484907,7
117258,2
536158,1
434841,1
561060,1
230191,1
225235,6
487354,1
2276,6
494966,1
71886,1
460434,2
399342,1
482613,1
527028,1
225394,1
244633,2
518457,1
221270,2
37368,1
116762,1
20660,2
494005,2
99287,2
365425,2
571279,2
170226,2
325234,2
23931,2
468062,7
551684,1
15914,2
564918,2
323967,2
400166,3
57798,1
55396,1
51692,2
148505,1
445466,1
569061,2
186682,1
490574,1
120510,1
354137,2
565809,2
270622,3
270891,1
348261,1
315998,2
555994,2
146189,1
345406,1
198611,2
137167,1
513936,1
120195,2
32820,2
290281,6
266433,1
109683,2
422325,2
108334,2
7634,5
231236,2
479713,2
163709,2
336161,7
192711,1
372797,1
462984,2
405555,5
418228,2
348817,6
568932,2
214855,1
62839,1
529727,1
385570,2
59208,2
338238,1
440954,2
75446,2
574905,3
493271,2
514134,1
430446,1
10881,6
16062,2
197027,1
81197,1
11536,2
411590,1
293984,6
347775,1
79279,2
369153,2
355438,3
400355,1
173705,2
113733,1
216607,2
199725,2
34824,2
162306,2
118980,2
542220,1
314285,1
42185,2
153432,2
487395,1
494740,1
136518,2
484126,1
469741,1
402572,1
487620,2
203095,2
228077,2
414268,1
490935,2
267941,2
166880,1
44030,2
148864,1
261850,1
163251,1
192536,1
449927,1
287485,3
551623,1
464578,7
37602,2
341842,1
413390,1
132613,2
125909,2
543890,1
235290,1
391000,1
188709,1
557810,2
56286,1
75138,2
360081,7
262466,2
197049,2
258786,2
455705,1
345364,1
469794,2
78735,2
529204,2
215351,2
105222,1
245801,2
248586,2
106445,2
350459,1
515817,1
322636,2
419811,1
370112,1
441263,1
139989,2
399094,1
410397,2
239702,3
326464,2
198837,2
514746,1
184687,2
180522,1
462995,1
95738,2
177365,1
245263,2
415592,1
40019,2
431178,1
452720,1
52524,2
88215,2
452480,1
197511,1
10103,5
316924,1
407520,1
542835,1
578861,3
313742,1
198083,1
25684,1
523643,1
546430,1
525565,1
37013,1
257206,2
454908,1
158145,2
18092,1
190243,2
252678,5
515594,1
406655,1
438655,1
8420,5
195575,2
208427,2
201438,1
488595,1
373266,2
306793,1
505156,1
480747,1
4926,3
246929,2
356747,3
477321,1
565985,2
568992,2
388438,1
72977,2
72507,1
570221,6
257337,3
391931,1
464573,1
290673,3
434455,1
386395,3
88252,2
278362,3
435218,1
403007,2
558304,2
302204,2
187103,2
398887,1
118790,2
405251,1
456332,2
309475,1
443549,1
24540,1
4297,4
31072,2
187426,2
133346,2
16472,2
283470,3
143054,2
407594,2
398059,2
172434,2
314759,2
306699,3
381270,2
402303,1
19523,2
350234,2
510624,7
405932,1
7511,7
459422,2
111784,2
76226,2
530267,1
483539,2
501505,2
344695,2
229557,2
386778,7
170277,1
221520,2
431762,1
200353,1
419180,2
151395,2
337925,2
272273,6
227724,1
499835,1
573047,2
431778,1
552008,1
387290,2
38019,2
121792,1
381250,1
249731,2
446744,1
231092,3
285336,3
255781,1
255031,3
245616,3
82245,1
352513,1
174732,2
19649,1
441556,2
576067,6
198771,1
548252,1
436933,1
203334,1
308540,2
372866,1
411704,2
79161,2
542667,1
50503,1
203096,2
266379,6
213434,2
432015,1
380200,1
1834,5
208496,1
323163,2
525348,2
128229,2
285021,1
353654,3
228924,2
166307,1
44695,1
172881,1
188103,1
173926,2
184728,1
187427,2
433107,1
122678,1
292124,3
33712,2
460540,1
80911,1
419191,2
465169,1
72393,2
464012,1
199251,1
296571,1
406188,2
394668,2
219448,2
192800,1
137521,1
535825,2
284212,3
237540,2
292932,5
115314,2
197627,2
253447,2
305084,2
270076,2
170764,2
90508,2
11939,1
460306,1
281146,2
429621,1
562247,2
215235,1
463334,2
89724,1
85593,2
94941,2
127663,1
532049,2
231082,3
368514,2
449459,7
557932,2
263800,1
217359,2
310378,1
279148,1
393324,2
191520,2
515786,1
63353,2
39805,2
9478,1
292903,2
4821,3
142064,2
306321,1
546154,1
525153,1
245570,3
224497,1
120209,2
460847,1
376341,2
372152,6
173364,2
565485,2
308799,1
204746,1
218044,2
376058,2
376146,1
357838,2
76442,2
254484,1
507773,1
96967,1
82495,2
553359,7
265628,1
472490,1
180159,2
314195,2
155746,2
474288,2
43573,1
507641,2
256069,3
334455,2
92536,2
19350,2
531611,1
214457,2
237647,1
281082,2
255384,6
446481,2
558563,2
103575,2
279663,6
466106,7
140367,1
364096,2
259484,3
506315,1
149652,2
117182,2
169688,1
409539,1
118693,2
387499,2
337248,2
529241,1
166186,2
236429,6
264825,2
456587,7
311414,1
468707,2
507907,1
383762,3
393040,1
273004,2
33338,2
332139,2
234933,2
503789,1
97365,2
567468,2
119145,2
399581,1
123396,1
256898,1
263371,1
127227,2
541527,7
292558,6
419095,6
427185,2
387059,1
442461,2
94607,2
546823,1
464078,7
121827,2
51340,2
393761,1
142586,2
64789,2
495471,1
336577,1
398334,1
468899,1
580229,3
454014,1
387681,6
127243,2
278055,1
297397,3
64066,1
112309,2
508948,2
445197,2
154610,2
487157,1
388610,2
21652,2
183454,1
77169,1
350355,1
180066,2
72422,2
394395,1
18218,2
457072,7
62121,2
405215,7
405894,1
281597,1
105642,2
371785,2
133514,2
105811,2
539189,1
336006,3
230101,3
230704,1
478088,2
433334,1
22514,2
33714,2
175563,2
544918,1
368463,1
63221,1
230046,2
34103,2
79346,2
424823,2
417208,2
98783,2
156210,2
257153,2
342840,1
340391,1
380161,7
132498,2
55334,2
70932,2
219271,1
293310,1
279368,5
164049,1
449343,2
140860,2
536408,1
491852,1
113566,2
65399,2
80245,1
150593,2
168080,2
460066,7
388579,1
89911,2
551235,1
201841,1
395027,2
538719,1
479732,2
510854,1
400737,2
244176,2
144910,1
556017,2
443089,1
268047,2
346470,5
499192,1
83006,2
74966,2
518011,1
250691,3
360733,1
334443,1
443259,2
71801,2
278195,1
498144,1
344227,2
548100,2
242099,3
316136,2
515702,1
326636,2
278008,1
119494,2
101212,2
563260,2
198124,1
536714,7
198921,1
27557,2
480771,2
526571,1
292427,2
46377,1
334768,1
330813,1
497438,1
219914,1
98482,2
393777,7
391856,1
211446,1
533041,2
485542,7
551600,1
9090,7
140932,1
123077,2
483089,1
61006,2
339370,2
197472,1
137537,1
86164,2
557093,2
319741,1
400430,1
324026,2
195355,2
364458,3
455198,1
473093,1
526791,2
276628,3
485069,1
310169,2
144035,2
232350,2
510441,7
428766,2
347398,1
298738,1
69332,2
233250,2
230383,2
201850,1
525363,2
461433,2
151654,2
473041,2
217023,7
178495,2
274888,3
115024,2
154974,2
118893,2
563406,2
464167,1
210373,1
382635,2
328765,2
418085,1
390827,2
160781,1
181058,1
328886,2
417973,2
26407,2
345983,1
416354,2
454121,7
526940,1
409147,1
491775,1
399767,1
440088,1
163414,1
452124,1
473265,2
542525,1
519963,1
492046,1
134016,2
514132,1
309465,1
229490,1
199799,1
579637,3
552260,1
391328,1
522628,2
176536,2
451294,2
393403,3
553157,7
45886,1
465694,1
163669,2
4456,6
536248,1
30185,2
345799,2
386295,2
131772,2
426938,2
485273,1
63529,2
286691,1
253439,2
317380,3
132537,1
141275,2
360243,2
173850,2
247847,2
189825,1
82548,1
268586,2
227105,2
11161,3
152279,1
97652,2
318873,2
289259,6
85415,2
68177,2
160125,2
149975,2
77248,1
420986,1
266566,2
38898,1
99860,2
85736,2
147711,1
59815,1
443861,1
314775,2
201215,1
508,2
419726,1
308358,2
37293,2
227461,2
135187,2
42605,2
261763,3
227426,2
255330,2
63851,1
227539,2
77730,1
358154,2
282301,1
507390,2
377119,2
1617,5
350301,1
462716,1
485845,2
546001,1
194105,1
148070,2
314117,2
98724,2
206609,1
433966,1
304478,2
99584,2
56337,2
407788,2
376062,7
31805,2
249397,3
385585,2
244193,2
351192,3
155713,1
527295,2
401226,1
51791,2
400678,1
130995,2
291664,6
212363,1
564900,2
96353,2
180184,2
475371,2
314095,2
551640,1
67263,2
396434,7
362565,2
538316,1
498768,2
236108,2
396243,2
92185,2
572422,3
448839,2
246100,3
46559,2
469328,2
221230,2
499713,2
319422,1
241162,6
66728,1
12803,4
364095,2
322112,1
520681,1
376771,7
491081,1
380967,2
438620,1
377387,7
330623,2
514369,1
424941,1
319651,1
61204,2
18851,2
359235,1
556020,2
19413,1
380292,2
30351,1
48899,2
34558,2
149764,1
573347,3
451768,2
245848,2
445911,2
230285,2
7369,7
361747,2
18601,2
127994,2
7618,3
531560,1
341371,1
208971,2
486588,1
411691,2
476423,1
43673,2
150821,2
408354,6
67619,2
129924,2
390684,1
304716,6
371933,7
215840,7
190714,1
231170,1
230058,2
443849,1
498058,2
232054,3
450117,1
66571,2
515282,1
74292,1
569230,6
387085,1
471936,2
185972,1
156908,2
296134,2
316447,7
82893,2
525076,1
98261,2
423684,1
128327,2
497192,1
98880,2
498990,1
544146,1
308459,1
541179,1
264975,3
11419,2
248600,2
433928,2
485255,2
508531,1
558531,1
15803,2
427263,2
102214,2
385930,1
389263,2
49538,2
435775,1
263760,7
357043,2
411254,2
272821,6
466829,2
436873,1
242183,2
61475,2
198720,2
221040,1
359867,1
265837,3
195190,1
144911,1
219025,2
495129,1
346112,2
499342,1
342349,2
418280,1
148781,2
187080,1
537989,2
151410,1
221327,2
445982,1
27960,1
188131,2
224295,2
439413,1
486379,1
95638,2
433026,1
207998,1
246654,6
204491,1
95582,2
190521,5
196993,2
574158,3
243516,3
143624,1
566717,2
343835,1
571725,3
90908,2
98680,2
335768,1
215220,1
73727,1
169237,1
557888,2
60166,1
47036,2
527737,2
446670,1
532598,2
46585,2
130442,2
87022,2
157387,2
72823,2
213345,1
135737,2
245581,6
100609,1
541080,2
557828,2
349416,6
332581,1
332914,2
566878,2
116053,2
91568,1
209762,2
348134,2
76811,2
319838,2
107305,2
128332,2
571334,2
137161,1
239611,2
469167,2
39180,2
148481,2
229069,2
30319,2
525333,2
563438,2
500195,7
187012,1
541339,2
146337,1
471375,2
182701,1
518231,1
77680,2
355975,2
496458,1
212589,2
322196,1
374846,7
25125,1
266106,2
276333,7
322167,1
11121,3
282841,2
506540,2
459726,1
513617,1
244604,1
421328,2
475590,1
551998,1
18612,5
267035,2
45212,2
70107,2
184815,1
474785,2
178313,2
360365,6
109008,2
453564,1
316905,1
34853,2
62639,2
281150,1
456951,1
157902,2
40950,2
393061,1
495428,1
104367,2
33274,2
84731,2
425424,1
423075,2
570045,3
282773,2
381401,7
261005,2
68056,1
497983,7
391949,1
29836,2
54250,2
129275,2
25362,2
367984,2
367706,2
112050,2
83443,2
387300,2
577645,3
69652,2
85915,2
222125,2
2324,5
79294,2
38988,1
213938,1
370479,2
370468,2
443328,1
452906,7
81268,2
262066,5
85490,2
352346,2
288862,7
58000,1
449689,1
60603,2
485408,2
352882,2
503686,1
287847,1
485615,2
173848,1
82787,2
312703,2
388216,2
150000,2
557264,2
155554,1
178756,2
150551,2
545521,2
545857,1
20291,2
237951,1
443205,1
402917,3
27306,2
114193,2
552872,2
325074,2
442992,1
384695,7
11525,2
535097,2
298324,1
508931,2
419127,1
446097,2
135372,2
75079,2
112241,2
509205,1
195518,2
179862,1
9501,1
338885,1
153658,2
363471,2
505688,1
434004,2
465639,7
318931,2
126649,1
184823,2
59184,2
312908,2
306614,5
262953,2
460918,2
114519,2
1423,5
148418,2
525690,1
107471,2
420450,1
463573,1
249736,2
444234,1
138323,2
517245,1
427898,2
392820,2
502803,2
347011,2
566529,6
318549,2
41807,1
84617,2
179056,1
248855,3
74149,2
449128,1
227619,2
529390,1
495711,2
238477,2
512635,1
470062,1
155741,2
564574,2
130929,2
455074,1
96615,2
446672,1
228183,3
183918,2
176557,1
14533,7
72978,2
63263,1
564525,2
376203,2
447930,2
131803,1
57115,2
353592,2
376951,2
443917,1
267063,2
567148,6
70389,1
306573,2
537337,1
102970,2
163994,2
482807,1
99413,1
61760,2
192751,1
308701,3
7267,7
191628,1
494747,2
122342,2
497234,2
168720,2
99482,2
234120,1
34885,2
272141,3
370295,1
60304,2
205973,1
419307,1
367640,2
508461,1
545578,2
52433,2
23919,2
497514,2
393158,1
389637,6
275388,3
333402,1
333886,6
447501,1
416589,2
472220,2
210885,1
57589,1
526088,1
431449,1
156799,1
517911,2
355265,1
566250,2
22905,1
458853,2
40275,2
239991,2
162087,2
111882,2
5563,4
307535,2
366316,2
495290,2
128187,2
417442,1
388621,2
472952,7
29876,2
189083,1
205310,1
344402,2
256009,1
504901,2
231134,7
80546,1
46066,2
519103,1
185693,2
477618,1
487239,2
441532,1
133362,2
20266,2
401882,1
441314,1
140319,2
186132,1
99485,2
392767,2
164869,1
555932,1
267062,2
426303,2
431822,1
118723,2
183393,1
418851,2
504028,2
472311,1
149058,2
327161,2
435578,1
579202,3
321338,2
560555,2
211565,1
197003,2
40755,2
566007,2
169305,2
93489,2
375862,7
558497,1
309520,2
187323,1
404538,1
139255,2
384321,2
80281,2
397034,1
551876,1
197447,2
276448,2
571898,2
426305,2
52071,2
434380,2
248392,5
108226,1
258617,1
532426,1
174368,5
90119,2
223792,3
404807,2
444995,1
93713,2
114198,2
381548,2
41766,2
5033,6
273050,2
420176,5
331270,1
531677,1
520524,1
59454,2
576331,2
559208,1
2909,4
545236,1
378846,7
239774,6
280802,3
474071,1
352781,1
539459,1
206721,1
280641,3
405899,7
326060,5
509761,1
24324,2
391395,2
259886,2
560821,2
399739,1
506460,1
74348,2
550006,1
371510,2
422888,2
545325,1
232957,2
342511,2
348166,3
383755,3
171458,2
212978,1
152870,2
351199,3
326922,3
207354,1
205068,1
5809,5
30045,2
223146,1
395455,3
180033,1
490460,1
487065,1
451703,2
426732,1
82110,2
93513,2
34893,2
62577,2
458228,7
410203,1
578874,3
431341,1
373782,2
427941,2
314834,2
205811,1
339385,2
552606,1
188933,2
68330,2
217374,5
44820,2
565240,2
544713,2
546784,1
474133,7
362363,2
39643,2
86190,1
176859,2
123993,2
65587,2
410670,1
17486,2
484190,2
469534,7
538639,1
44591,2
557875,2
336328,2
401935,7
399847,1
570588,3
503214,1
318748,1
400129,2
56460,2
461777,1
390848,2
71686,1
59167,2
269619,3
549545,1
168851,2
241117,3
442944,2
220094,2
259536,3
395256,2
8925,1
394261,2
484992,2
169971,2
142664,2
307188,2
458901,2
85436,2
279931,2
154059,1
287643,6
449356,2
39174,2
470382,7
398064,2
567977,6
507494,1
306794,1
397929,1
515386,1
435356,2
408430,1
365405,2
380675,1
36882,2
572321,2
232295,2
25338,2
117697,2
159811,1
511985,1
317299,2
199466,1
500306,2
25971,1
523996,2
27320,2
378909,2
530348,7
302998,1
77325,2
65739,2
113676,2
309271,1
407700,2
156654,2
337240,2
105252,1
250191,2
237853,6
444578,1
329860,1
426834,2
230129,3
256847,1
118928,2
172467,2
258488,3
73267,2
90004,2
527629,2
527485,1
376786,1
174557,2
327655,1
97323,2
479386,2
544978,2
311569,1
335787,1
564912,2
543492,1
543039,1
438577,1
292661,6
568313,2
436772,2
521995,1
351733,2
505615,2
169135,1
396148,1
170989,1
520734,2
570682,2
108513,2
340054,2
545273,7
576088,6
367746,2
8050,5
368019,1
419860,1
440031,2
360116,7
501540,1
380765,7
559325,3
415027,1
201823,1
175217,1
328816,5
256700,3
233529,1
40790,2
554706,2
383602,2
224759,2
169424,2
97915,2
136296,2
398356,1
90567,2
324190,1
446961,2
257133,2
226573,2
287059,3
564273,2
432214,1
25891,2
522752,1
547717,2
40795,2
187390,1
170836,2
234165,2
258864,2
67651,2
88300,2
189478,2
1702,7
389076,1
395751,7
383693,3
223829,2
451576,1
409862,1
490054,1
574151,6
375826,1
502489,1
321234,2
293213,3
34820,2
326329,1
513374,1
273461,1
296408,3
143250,2
559635,1
206314,1
304559,2
170400,1
6362,1
44061,2
392865,1
561942,2
37589,2
410102,1
162905,2
171669,2
503557,7
252711,2
275859,2
310157,2
538924,1
119595,2
354734,2
236154,2
344742,1
501630,1
525166,1
368112,1
92539,2
109110,2
386834,2
359627,2
514495,1
305053,2
465297,1
337147,1
519579,1
349536,1
463226,1
540276,7
469920,7
79326,2
317205,2
532325,1
290052,2
128883,1
160667,2
257543,1
222052,2
223671,2
385627,2
337396,3
483567,2
319440,1
138930,2
460168,1
284118,3
550689,1
254597,2
107301,2
322328,2
551003,2
238083,1
225350,1
55902,2
17336,2
260265,1
382392,2
358883,7
284373,1
209642,1
536574,1
64956,1
225847,7
164424,2
274782,2
481346,1
536958,1
62971,2
530837,1
352038,2
53257,1
98003,2
406768,1
478273,1
229146,3
1839,2
91118,2
217020,1
91835,2
69479,2
329266,1
88561,1
108604,2
17242,2
735,2
543723,1
576316,3
30462,2
428796,2
100404,2
561380,2
68880,2
361394,2
81615,2
572014,3
460506,2
78851,1
505631,2
115968,2
262301,7
462016,1
119685,2
155293,1
424379,1
39413,2
470007,7
358702,1
310650,2
34958,2
314621,2
295160,1
169687,1
9016,1
71266,2
454163,1
87149,2
173350,2
189395,1
399255,2
499748,1
66958,2
511970,1
525852,2
455920,1
521818,1
512228,2
330272,2
577284,3
575982,6
95503,2
570976,2
493018,1
101583,2
176870,1
235719,1
19202,1
2434,5
230019,2
22270,2
163579,1
502402,2
480272,2
102716,2
31682,1
208635,1
414230,1
479983,2
47193,2
223176,2
211383,2
330971,2
491699,2
126010,2
162119,2
309434,1
231289,2
292975,2
166588,2
370937,2
125895,2
31978,2
448558,1
58187,2
284562,1
289844,3
111478,2
291885,1
138097,2
526553,1
372624,2
301264,2
276521,3
333657,1
28490,2
262286,3
11466,2
113287,2
198170,1
262845,1
352130,1
4132,4
373139,2
152414,2
491076,1
282903,3
458823,1
541893,1
122299,2
43143,2
338286,1
389312,1
322428,2
511787,5
319978,3
52557,2
109378,2
347322,1
572633,3
30728,1
368793,1
203650,1
131867,2
342930,1
394095,3
389698,1
256373,2
464242,1
147199,2
27706,2
351607,2
229043,2
380661,1
326520,1
482179,1
239753,6
442006,1
341810,1
361829,1
547794,2
205448,1
472970,1
77466,1
550514,1
228382,2
396664,2
348878,1
395407,2
482950,1
247643,3
481261,2
89985,2
393693,1
149053,2
123292,1
149335,2
342243,1
197371,2
514329,2
573456,3
72674,2
255052,1
128045,2
197562,1
513134,1
78484,2
556582,2
130333,2
322265,2
236133,5
430951,1
147212,2
9604,7
240539,2
525642,1
414898,1
539047,2
288511,2
103503,2
224877,1
492469,2
217448,2
251802,3
24070,2
563214,1
142131,2
321921,2
52840,2
21534,2
520333,1
135211,2
337071,2
31469,2
502752,2
74996,2
521252,2
263663,4
370935,2
475213,2
164735,2
228500,2
233779,2
361677,1
48822,2
512895,1
354837,3
596,2
509599,7
572584,3
13830,6
526401,2
36874,2
16901,2
53793,1
439105,1
139697,2
376598,2
127706,2
310849,1
202352,1
34196,2
364126,1
321594,2
489933,2
446226,1
297280,3
327152,2
85486,2
484077,1
72744,2
539242,7
274031,1
171472,1
175650,2
368982,1
313542,2
404366,1
218331,1
433955,1
348051,2
53818,2
558438,3
274133,2
199975,2
19448,2
355918,2
67018,2
108718,1
481915,2
541377,2
76891,1
481829,2
167762,1
520979,1
